target_index,transform,representation,metric,bp,msp,difference_bp_minus_msp,relative_improvement_percent,msp_win
12,horizontal_flip,layer4_pooled,bp_eq2_uniform,0.41025543212890625,0.3113078773021698,0.09894755482673645,24.118523992000423,1.0
13,horizontal_flip,layer4_pooled,bp_eq2_uniform,0.44563546776771545,0.3994591534137726,0.04617631435394287,10.361902876614918,1.0
14,horizontal_flip,layer4_pooled,bp_eq2_uniform,0.43921008706092834,0.3419206440448761,0.09728944301605225,22.151003786562512,1.0
15,horizontal_flip,layer4_pooled,bp_eq2_uniform,0.35791903734207153,0.1935507357120514,0.16436830163002014,45.923319097572985,1.0
16,horizontal_flip,layer4_pooled,bp_eq2_uniform,0.5098187327384949,0.36442679166793823,0.14539194107055664,28.518359905941008,1.0
17,horizontal_flip,layer4_pooled,bp_eq2_uniform,0.4662253260612488,0.4107121229171753,0.055513203144073486,11.906947143549546,1.0
18,horizontal_flip,layer4_pooled,bp_eq2_uniform,0.44832050800323486,0.3978540003299713,0.05046650767326355,11.256792132468506,1.0
19,horizontal_flip,layer4_pooled,bp_eq2_uniform,0.6521615386009216,0.4899338483810425,0.16222769021987915,24.87538448950187,1.0
20,horizontal_flip,layer4_pooled,bp_eq2_uniform,0.4622800946235657,0.3362012505531311,0.12607884407043457,27.27325825543662,1.0
21,horizontal_flip,layer4_pooled,bp_eq2_uniform,0.4211671054363251,0.3632034361362457,0.057963669300079346,13.762629738115924,1.0
22,horizontal_flip,layer4_pooled,bp_eq2_uniform,0.5320264101028442,0.4592211842536926,0.07280522584915161,13.684513487768593,1.0
23,horizontal_flip,layer4_pooled,bp_eq2_uniform,0.48485898971557617,0.3915398418903351,0.09331914782524109,19.24665723529035,1.0
24,horizontal_flip,layer4_pooled,bp_eq2_uniform,0.45303481817245483,0.33527782559394836,0.11775699257850647,25.992923248874988,1.0
25,horizontal_flip,layer4_pooled,bp_eq2_uniform,0.3962523341178894,0.25888004899024963,0.13737228512763977,34.667880362926354,1.0
26,horizontal_flip,layer4_pooled,bp_eq2_uniform,0.38927215337753296,0.26629093289375305,0.12298122048377991,31.59260671908157,1.0
27,horizontal_flip,layer4_pooled,bp_eq2_uniform,0.5119147300720215,0.3944029211997986,0.1175118088722229,22.955348218923213,1.0
28,horizontal_flip,layer4_pooled,bp_eq2_uniform,0.4229472577571869,0.38083529472351074,0.04211196303367615,9.956788290078705,1.0
29,horizontal_flip,layer4_pooled,bp_eq2_uniform,0.5465452075004578,0.40996959805488586,0.1365756094455719,24.98889525899056,1.0
30,horizontal_flip,layer4_pooled,bp_eq2_uniform,0.4761071801185608,0.3978889286518097,0.0782182514667511,16.428706546099306,1.0
31,horizontal_flip,layer4_pooled,bp_eq2_uniform,0.4281526505947113,0.380245566368103,0.047907084226608276,11.189253216102395,1.0
32,horizontal_flip,layer4_pooled,bp_eq2_uniform,0.45140862464904785,0.38591089844703674,0.06549772620201111,14.509631102593106,1.0
33,horizontal_flip,layer4_pooled,bp_eq2_uniform,0.44016215205192566,0.38669314980506897,0.05346900224685669,12.14756925316639,1.0
2,horizontal_flip,layer4_pooled,full_normalized_distance,0.9669729361469858,0.8829901187425928,0.08398281740439295,8.685125949744284,1.0
3,horizontal_flip,layer4_pooled,full_normalized_distance,0.9606092559179497,0.8836114019895579,0.07699785392839176,8.015522800135123,1.0
4,horizontal_flip,layer4_pooled,full_normalized_distance,0.9725256836056694,0.8999786758545729,0.07254700775109646,7.4596495469458,1.0
5,horizontal_flip,layer4_pooled,full_normalized_distance,1.0376636008456197,0.8549353970554004,0.18272820379021926,17.609580180044194,1.0
6,horizontal_flip,layer4_pooled,full_normalized_distance,0.9069171948807462,0.810174474998608,0.09674271988213823,10.667205388552878,1.0
7,horizontal_flip,layer4_pooled,full_normalized_distance,0.9959608400720232,0.8545041154301414,0.14145672464188186,14.203040817499446,1.0
8,horizontal_flip,layer4_pooled,full_normalized_distance,0.7869017069119513,0.628702284631026,0.15819942228092532,20.104089353363886,1.0
9,horizontal_flip,layer4_pooled,full_normalized_distance,1.0089151427367569,0.8863623486800721,0.12255279405668473,12.14698728023149,1.0
10,horizontal_flip,layer4_pooled,full_normalized_distance,0.9397969082823087,0.8485130515277747,0.09128385675453399,9.713147165091097,1.0
11,horizontal_flip,layer4_pooled,full_normalized_distance,0.8514897376655587,0.7208964184257615,0.13059331923979722,15.33703971555524,1.0
12,horizontal_flip,layer4_pooled,full_normalized_distance,0.9058205474915064,0.7890600449929901,0.11676050249851633,12.890025824842779,1.0
13,horizontal_flip,layer4_pooled,full_normalized_distance,0.9440714673876289,0.8938223015944193,0.050249165793209594,5.322601892863311,1.0
14,horizontal_flip,layer4_pooled,full_normalized_distance,0.9372407236787444,0.8269469681241671,0.11029375555457732,11.767921812183735,1.0
15,horizontal_flip,layer4_pooled,full_normalized_distance,0.8460721450822873,0.6221747916977212,0.22389735338456618,26.463151480128886,1.0
16,horizontal_flip,layer4_pooled,full_normalized_distance,1.0097709965516883,0.8537292213201305,0.15604177523155782,15.453184510574896,1.0
17,horizontal_flip,layer4_pooled,full_normalized_distance,0.9656348440909212,0.9063245808397511,0.05931026325117006,6.142100568765741,1.0
18,horizontal_flip,layer4_pooled,full_normalized_distance,0.946911303135869,0.8920246637060786,0.05488663942979044,5.796386551513894,1.0
19,horizontal_flip,layer4_pooled,full_normalized_distance,1.1420696463884519,0.989882668179459,0.15218697820899285,13.325542683856275,1.0
20,horizontal_flip,layer4_pooled,full_normalized_distance,0.961540529175516,0.8200015250633759,0.14153900411214015,14.720024774551854,1.0
21,horizontal_flip,layer4_pooled,full_normalized_distance,0.917787671998622,0.8522950617435792,0.06549261025504283,7.135921766343992,1.0
22,horizontal_flip,layer4_pooled,full_normalized_distance,1.0315293598369795,0.9583539891435655,0.07317537069341395,7.093871831714754,1.0
23,horizontal_flip,layer4_pooled,full_normalized_distance,0.9847425955198406,0.884917896632603,0.09982469888723755,10.13713627716482,1.0
24,horizontal_flip,layer4_pooled,full_normalized_distance,0.9518769018864307,0.8188746248284268,0.13300227705800394,13.972634149886414,1.0
