target_index,transform,representation,cosine_drift
6,horizontal_flip,concat,0.18556249141693115
7,original,layer2_flat,-1.1920928955078125e-07
7,original,layer3_flat,1.1920928955078125e-07
7,original,layer4_pooled,0.0
7,original,concat,0.0
7,rotate_-10,layer2_flat,0.16374266147613525
7,rotate_-10,layer3_flat,0.08111143112182617
7,rotate_-10,layer4_pooled,0.009801685810089111
7,rotate_-10,concat,0.1246265172958374
7,rotate_+10,layer2_flat,0.14984440803527832
7,rotate_+10,layer3_flat,0.07215726375579834
7,rotate_+10,layer4_pooled,0.01329737901687622
7,rotate_+10,concat,0.11240875720977783
7,scale_0.90,layer2_flat,0.19316178560256958
7,scale_0.90,layer3_flat,0.11227607727050781
7,scale_0.90,layer4_pooled,0.01805168390274048
7,scale_0.90,concat,0.1554403305053711
7,scale_1.10,layer2_flat,0.06063342094421387
7,scale_1.10,layer3_flat,0.03354281187057495
7,scale_1.10,layer4_pooled,0.006869971752166748
7,scale_1.10,concat,0.047459304332733154
7,horizontal_flip,layer2_flat,0.2538580894470215
7,horizontal_flip,layer3_flat,0.23483598232269287
7,horizontal_flip,layer4_pooled,0.0029753446578979492
7,horizontal_flip,concat,0.2443256378173828
8,original,layer2_flat,0.0
8,original,layer3_flat,0.0
8,original,layer4_pooled,1.7881393432617188e-07
8,original,concat,0.0
8,rotate_-10,layer2_flat,0.09096157550811768
8,rotate_-10,layer3_flat,0.048226118087768555
8,rotate_-10,layer4_pooled,0.007839322090148926
8,rotate_-10,concat,0.07688295841217041
8,rotate_+10,layer2_flat,0.09731924533843994
8,rotate_+10,layer3_flat,0.04840195178985596
8,rotate_+10,layer4_pooled,0.010807633399963379
8,rotate_+10,concat,0.08133804798126221
8,scale_0.90,layer2_flat,0.20116299390792847
8,scale_0.90,layer3_flat,0.08769392967224121
8,scale_0.90,layer4_pooled,0.021038532257080078
8,scale_0.90,concat,0.16622239351272583
8,scale_1.10,layer2_flat,0.05715358257293701
8,scale_1.10,layer3_flat,0.037167906761169434
8,scale_1.10,layer4_pooled,0.0056951045989990234
8,scale_1.10,concat,0.050716519355773926
8,horizontal_flip,layer2_flat,0.21353960037231445
8,horizontal_flip,layer3_flat,0.21206557750701904
8,horizontal_flip,layer4_pooled,0.028218090534210205
8,horizontal_flip,concat,0.21304559707641602
9,original,layer2_flat,0.0
9,original,layer3_flat,0.0
9,original,layer4_pooled,0.0
9,original,concat,-1.1920928955078125e-07
9,rotate_-10,layer2_flat,0.14977967739105225
9,rotate_-10,layer3_flat,0.11348086595535278
9,rotate_-10,layer4_pooled,0.056594252586364746
9,rotate_-10,concat,0.13186359405517578
9,rotate_+10,layer2_flat,0.13266950845718384
9,rotate_+10,layer3_flat,0.07094079256057739
9,rotate_+10,layer4_pooled,0.05188119411468506
9,rotate_+10,concat,0.10250234603881836
9,scale_0.90,layer2_flat,0.20153313875198364
9,scale_0.90,layer3_flat,0.13276970386505127
9,scale_0.90,layer4_pooled,0.04379832744598389
9,scale_0.90,concat,0.16968250274658203
9,scale_1.10,layer2_flat,0.06850326061248779
9,scale_1.10,layer3_flat,0.03609645366668701
9,scale_1.10,layer4_pooled,0.008093774318695068
9,scale_1.10,concat,0.05247640609741211
9,horizontal_flip,layer2_flat,0.2715413570404053
9,horizontal_flip,layer3_flat,0.24504148960113525
9,horizontal_flip,layer4_pooled,0.011898338794708252
9,horizontal_flip,concat,0.25807785987854004
10,original,layer2_flat,0.0
10,original,layer3_flat,0.0
10,original,layer4_pooled,1.1920928955078125e-07
10,original,concat,0.0
10,rotate_-10,layer2_flat,0.12489676475524902
10,rotate_-10,layer3_flat,0.03215211629867554
10,rotate_-10,layer4_pooled,0.00045490264892578125
10,rotate_-10,concat,0.07193410396575928
10,rotate_+10,layer2_flat,0.11659276485443115
10,rotate_+10,layer3_flat,0.026085257530212402
10,rotate_+10,layer4_pooled,0.0003210306167602539
10,rotate_+10,concat,0.0652918815612793
10,scale_0.90,layer2_flat,0.16697311401367188
10,scale_0.90,layer3_flat,0.058942973613739014
10,scale_0.90,layer4_pooled,0.004020035266876221
10,scale_0.90,concat,0.10691773891448975
10,scale_1.10,layer2_flat,0.06536871194839478
10,scale_1.10,layer3_flat,0.01174306869506836
10,scale_1.10,layer4_pooled,0.00021761655807495117
10,scale_1.10,concat,0.03466928005218506
10,horizontal_flip,layer2_flat,0.17687755823135376
10,horizontal_flip,layer3_flat,0.059005677700042725
10,horizontal_flip,layer4_pooled,0.0009652376174926758
10,horizontal_flip,concat,0.1079680323600769
11,original,layer2_flat,5.960464477539063e-08
11,original,layer3_flat,0.0
11,original,layer4_pooled,0.0
11,original,concat,-1.1920928955078125e-07
11,rotate_-10,layer2_flat,0.093780517578125
11,rotate_-10,layer3_flat,0.043775200843811035
11,rotate_-10,layer4_pooled,0.011110007762908936
11,rotate_-10,concat,0.07556653022766113
11,rotate_+10,layer2_flat,0.09096348285675049
11,rotate_+10,layer3_flat,0.046947360038757324
11,rotate_+10,layer4_pooled,0.014933347702026367
11,rotate_+10,concat,0.07506084442138672
11,scale_0.90,layer2_flat,0.13205385208129883
11,scale_0.90,layer3_flat,0.04974794387817383
11,scale_0.90,layer4_pooled,0.030387401580810547
11,scale_0.90,concat,0.10285860300064087
11,scale_1.10,layer2_flat,0.05498099327087402
11,scale_1.10,layer3_flat,0.030862867832183838
11,scale_1.10,layer4_pooled,0.008993983268737793
11,scale_1.10,concat,0.04628098011016846
11,horizontal_flip,layer2_flat,0.13254952430725098
11,horizontal_flip,layer3_flat,0.11523640155792236
11,horizontal_flip,layer4_pooled,0.012887954711914062
11,horizontal_flip,concat,0.12635588645935059
12,original,layer2_flat,5.960464477539063e-08
12,original,layer3_flat,1.1920928955078125e-07
12,original,layer4_pooled,5.960464477539063e-08
12,original,concat,5.960464477539063e-08
12,rotate_-10,layer2_flat,0.12812668085098267
12,rotate_-10,layer3_flat,0.059461772441864014
12,rotate_-10,layer4_pooled,0.01280057430267334
12,rotate_-10,concat,0.09645801782608032
12,rotate_+10,layer2_flat,0.13904982805252075
12,rotate_+10,layer3_flat,0.053687095642089844
12,rotate_+10,layer4_pooled,0.010183453559875488
12,rotate_+10,concat,0.09993153810501099
12,scale_0.90,layer2_flat,0.166145920753479
12,scale_0.90,layer3_flat,0.07817423343658447
12,scale_0.90,layer4_pooled,0.019709110260009766
12,scale_0.90,concat,0.12864112854003906
12,scale_1.10,layer2_flat,0.05935704708099365
12,scale_1.10,layer3_flat,0.04564821720123291
12,scale_1.10,layer4_pooled,0.015539050102233887
12,scale_1.10,concat,0.05302894115447998
12,horizontal_flip,layer2_flat,0.17378902435302734
12,horizontal_flip,layer3_flat,0.11983412504196167
12,horizontal_flip,layer4_pooled,0.005706667900085449
12,horizontal_flip,concat,0.14869177341461182
13,original,layer2_flat,0.0
13,original,layer3_flat,0.0
13,original,layer4_pooled,0.0
13,original,concat,0.0
13,rotate_-10,layer2_flat,0.1456812620162964
13,rotate_-10,layer3_flat,0.04924887418746948
13,rotate_-10,layer4_pooled,0.005942285060882568
13,rotate_-10,concat,0.09162282943725586
13,rotate_+10,layer2_flat,0.1626291275024414
13,rotate_+10,layer3_flat,0.05071812868118286
13,rotate_+10,layer4_pooled,0.004426300525665283
13,rotate_+10,concat,0.09993761777877808
13,scale_0.90,layer2_flat,0.17276513576507568
13,scale_0.90,layer3_flat,0.0862431526184082
13,scale_0.90,layer4_pooled,0.009357035160064697
13,scale_0.90,concat,0.12533992528915405
13,scale_1.10,layer2_flat,0.07340741157531738
13,scale_1.10,layer3_flat,0.02572411298751831
13,scale_1.10,layer4_pooled,0.0030268430709838867
13,scale_1.10,concat,0.04607796669006348
13,horizontal_flip,layer2_flat,0.23264116048812866
13,horizontal_flip,layer3_flat,0.1404070258140564
13,horizontal_flip,layer4_pooled,0.0025263428688049316
13,horizontal_flip,concat,0.18064534664154053
14,original,layer2_flat,0.0
14,original,layer3_flat,0.0
14,original,layer4_pooled,5.960464477539063e-08
14,original,concat,0.0
14,rotate_-10,layer2_flat,0.114482581615448
14,rotate_-10,layer3_flat,0.053250789642333984
14,rotate_-10,layer4_pooled,0.008350372314453125
14,rotate_-10,concat,0.085254967212677
14,rotate_+10,layer2_flat,0.11167347431182861
14,rotate_+10,layer3_flat,0.052484750747680664
14,rotate_+10,layer4_pooled,0.012244820594787598
14,rotate_+10,concat,0.08337020874023438
14,scale_0.90,layer2_flat,0.19296395778656006
14,scale_0.90,layer3_flat,0.10252463817596436
14,scale_0.90,layer4_pooled,0.013523578643798828
14,scale_0.90,concat,0.1505720615386963
14,scale_1.10,layer2_flat,0.03138542175292969
14,scale_1.10,layer3_flat,0.01561427116394043
14,scale_1.10,layer4_pooled,0.0012491941452026367
