transform,representation,metric,n,bp_mean,bp_std,msp_mean,msp_std,mean_difference_bp_minus_msp,std_difference,mean_relative_improvement_percent,median_relative_improvement_percent,msp_win_rate_percent
horizontal_flip,concat,bp_eq2_uniform,32,0.33878822019323707,0.048645550049370094,0.2744077048264444,0.03976735243828122,0.06438051536679268,0.025142526762873946,18.69974319564821,18.3394935220107,100.0
horizontal_flip,concat,full_normalized_distance,32,0.8209074394561711,0.0616957465527103,0.7387677411513309,0.05599662927227795,0.08213969830484014,0.03284467121082516,9.92169940378981,9.633811688453783,100.0
horizontal_flip,concat,cp_eq1_optimized,32,0.20339625189080834,0.022746478752103692,0.17710307240486145,0.02430501813425433,0.026293179485946894,0.019663575529263386,12.691184212028446,10.61047250900956,93.75
horizontal_flip,layer2_flat,bp_eq2_uniform,32,0.3408033982850611,0.06454006788839735,0.26638933131471276,0.04890663492384984,0.07441406697034836,0.03407789792604621,21.13998380024057,22.113474370026303,93.75
horizontal_flip,layer2_flat,full_normalized_distance,32,0.8216689710864765,0.08170378298226913,0.7266117300427812,0.07049360634407222,0.0950572410436953,0.04471210705258494,11.376965467915179,11.74668285728211,93.75
horizontal_flip,layer2_flat,cp_eq1_optimized,32,0.19854917284101248,0.024553812469102543,0.1793484198860824,0.02690156138293332,0.019200752954930067,0.017089467429590832,9.63041187556064,8.25921637142579,90.625
horizontal_flip,layer3_flat,bp_eq2_uniform,32,0.34052924904972315,0.0340215166992236,0.28458559745922685,0.032910801521757856,0.0559436515904963,0.020920561206110216,16.364690457393007,17.276931249566005,100.0
horizontal_flip,layer3_flat,full_normalized_distance,32,0.8242134233500615,0.0422677287898383,0.7531515714773986,0.04467985386614766,0.07106185187266284,0.027109045390568173,8.60501017409198,9.047869093285241,100.0
horizontal_flip,layer3_flat,cp_eq1_optimized,32,0.20236798655241728,0.031677398319647665,0.1715838541276753,0.030412619695461877,0.030784132424741983,0.025362260898111236,14.675940384087069,12.416473673482482,87.5
horizontal_flip,layer4_pooled,bp_eq2_uniform,32,0.45674256701022387,0.06410760334597859,0.359685932751745,0.0656523464169705,0.09705663425847888,0.03759779098245173,21.511541877530583,21.17376092781223,100.0
horizontal_flip,layer4_pooled,full_normalized_distance,32,0.9535026693226429,0.06676134570276196,0.8442777166840955,0.08233371975191002,0.10922495263854753,0.04488830919736737,11.546946491513896,11.217563600368306,100.0
horizontal_flip,layer4_pooled,cp_eq1_optimized,32,0.09496859373757616,0.057973947051998494,0.07062232366297394,0.0493735122527844,0.024346270074602216,0.05224652935404894,14.720255873283216,36.77144261492174,75.0
original,concat,bp_eq2_uniform,32,0.33974094316363335,0.049961857862412015,0.2426235326565802,0.039727258534847106,0.09711741050705314,0.02141001366860391,28.600944176552794,28.036073076821488,100.0
original,concat,full_normalized_distance,32,0.8219603459873055,0.06314816945071575,0.6941477082127998,0.059294993498744106,0.12781263777450558,0.025807112030518033,15.555207084001868,15.16844756223557,100.0
original,concat,cp_eq1_optimized,32,0.20197121985256672,0.022961858166080974,0.13503148360177875,0.02032346051368576,0.06693973625078797,0.0176391804921214,33.03518558641547,32.28378679760418,100.0
original,layer2_flat,bp_eq2_uniform,32,0.3411825052462518,0.06667008070890502,0.22312937839888036,0.04657514408841351,0.11805312684737146,0.03104572987575542,34.43328308117479,33.83515386023848,100.0
original,layer2_flat,full_normalized_distance,32,0.8218297639057435,0.08476669858067487,0.6641787110635196,0.072737417749849,0.1576510528422238,0.03621742099347995,19.130742200452268,18.658417664065567,100.0
original,layer2_flat,cp_eq1_optimized,32,0.1949929022230208,0.02527733072745559,0.12588212476111948,0.0208943702538771,0.06911077746190131,0.011803277676572303,35.5901511076711,34.88579552367445,100.0
original,layer3_flat,bp_eq2_uniform,32,0.3421910600736737,0.03339073104057187,0.26411941181868315,0.030969940533897,0.07807164825499058,0.019454114813563298,22.819518094442195,22.704437731183614,100.0
original,layer3_flat,full_normalized_distance,32,0.8262728700852429,0.04133593994692478,0.7255106464332219,0.043972138385966926,0.100762223652021,0.025131057404088653,12.197612551997395,12.082112708682015,100.0
original,layer3_flat,cp_eq1_optimized,32,0.20287473360076547,0.031183661379453515,0.14044759538955986,0.026934730344062803,0.0624271382112056,0.02730369586826157,30.30026748535867,29.243911380325358,100.0
original,layer4_pooled,bp_eq2_uniform,32,0.46059616655111313,0.05780613662928204,0.3634079652838409,0.05750870813152476,0.09718820126727223,0.037002870657647575,21.15092096317517,21.068896046530472,100.0
