representation,method,pca_2d_distance,full_normalized_distance,bp_eq2,pc1_explained_ratio,pc2_explained_ratio
layer4_pooled,BP,0.8632085753998782,0.8856256323564686,0.39216638034339746,0.678030046713812,0.16295935193449768
layer4_pooled,MSP,0.6842223774867858,0.7204360612693667,0.25951405918865933,0.678030046713812,0.16295935193449768
concat,BP,0.6051452656584184,0.7235365603622139,0.2617525770903918,0.2752999363903072,0.15250059735253263
concat,MSP,0.43632499715916556,0.5581411955642219,0.1557607970929295,0.2752999363903072,0.15250059735253263
